County,Year,Deaths,County_Name,State
"Acadia Parish, LA",2003.0,11.0,Acadia Parish, LA
"Acadia Parish, LA",2005.0,23.0,Acadia Parish, LA
"Acadia Parish, LA",2006.0,19.0,Acadia Parish, LA
"Acadia Parish, LA",2007.0,19.0,Acadia Parish, LA
"Acadia Parish, LA",2009.0,11.0,Acadia Parish, LA
"Acadia Parish, LA",2010.0,13.0,Acadia Parish, LA
"Acadia Parish, LA",2011.0,10.0,Acadia Parish, LA
"Ada County, ID",2003.0,17.0,Ada County, ID
"Ada County, ID",2004.0,21.0,Ada County, ID
"Ada County, ID",2005.0,20.0,Ada County, ID
"Ada County, ID",2006.0,32.0,Ada County, ID
"Ada County, ID",2007.0,32.0,Ada County, ID
"Ada County, ID",2008.0,37.0,Ada County, ID
"Ada County, ID",2009.0,34.0,Ada County, ID
"Ada County, ID",2010.0,35.0,Ada County, ID
"Ada County, ID",2011.0,32.0,Ada County, ID
"Ada County, ID",2012.0,28.0,Ada County, ID
"Ada County, ID",2013.0,43.0,Ada County, ID
"Ada County, ID",2014.0,50.0,Ada County, ID
"Ada County, ID",2015.0,30.0,Ada County, ID
"Adams County, CO",2003.0,32.0,Adams County, CO
"Adams County, CO",2004.0,35.0,Adams County, CO
"Adams County, CO",2005.0,48.0,Adams County, CO
"Adams County, CO",2006.0,52.0,Adams County, CO
"Adams County, CO",2007.0,51.0,Adams County, CO
"Adams County, CO",2008.0,50.0,Adams County, CO
"Adams County, CO",2009.0,52.0,Adams County, CO
"Adams County, CO",2010.0,53.0,Adams County, CO
"Adams County, CO",2011.0,74.0,Adams County, CO
"Adams County, CO",2012.0,78.0,Adams County, CO
"Adams County, CO",2013.0,64.0,Adams County, CO
"Adams County, CO",2014.0,74.0,Adams County, CO
"Adams County, CO",2015.0,67.0,Adams County, CO
"Adams County, IL",2015.0,14.0,Adams County, IL
"Adams County, OH",2012.0,10.0,Adams County, OH
"Adams County, OH",2014.0,10.0,Adams County, OH
"Adams County, OH",2015.0,13.0,Adams County, OH
"Adams County, PA",2009.0,12.0,Adams County, PA
"Adams County, PA",2010.0,10.0,Adams County, PA
"Aiken County, SC",2003.0,10.0,Aiken County, SC
"Aiken County, SC",2004.0,16.0,Aiken County, SC
"Aiken County, SC",2005.0,13.0,Aiken County, SC
"Aiken County, SC",2006.0,25.0,Aiken County, SC
"Aiken County, SC",2007.0,19.0,Aiken County, SC
"Aiken County, SC",2008.0,18.0,Aiken County, SC
"Aiken County, SC",2009.0,21.0,Aiken County, SC
"Aiken County, SC",2010.0,25.0,Aiken County, SC
"Aiken County, SC",2011.0,22.0,Aiken County, SC
"Aiken County, SC",2012.0,26.0,Aiken County, SC
"Aiken County, SC",2013.0,27.0,Aiken County, SC
"Aiken County, SC",2014.0,26.0,Aiken County, SC
"Aiken County, SC",2015.0,30.0,Aiken County, SC
"Alachua County, FL",2003.0,11.0,Alachua County, FL
"Alachua County, FL",2007.0,17.0,Alachua County, FL
"Alachua County, FL",2009.0,15.0,Alachua County, FL
"Alachua County, FL",2010.0,15.0,Alachua County, FL
"Alachua County, FL",2011.0,14.0,Alachua County, FL
"Alachua County, FL",2012.0,14.0,Alachua County, FL
"Alachua County, FL",2013.0,12.0,Alachua County, FL
"Alachua County, FL",2014.0,19.0,Alachua County, FL
"Alachua County, FL",2015.0,23.0,Alachua County, FL
"Alamance County, NC",2005.0,11.0,Alamance County, NC
"Alamance County, NC",2006.0,10.0,Alamance County, NC
"Alamance County, NC",2007.0,11.0,Alamance County, NC
"Alamance County, NC",2008.0,19.0,Alamance County, NC
"Alamance County, NC",2009.0,20.0,Alamance County, NC
"Alamance County, NC",2011.0,16.0,Alamance County, NC
"Alamance County, NC",2012.0,19.0,Alamance County, NC
"Alamance County, NC",2013.0,15.0,Alamance County, NC
"Alamance County, NC",2014.0,16.0,Alamance County, NC
"Alamance County, NC",2015.0,14.0,Alamance County, NC
"Alameda County, CA",2003.0,113.0,Alameda County, CA
"Alameda County, CA",2004.0,135.0,Alameda County, CA
"Alameda County, CA",2005.0,144.0,Alameda County, CA
"Alameda County, CA",2006.0,160.0,Alameda County, CA
"Alameda County, CA",2007.0,163.0,Alameda County, CA
"Alameda County, CA",2008.0,135.0,Alameda County, CA
"Alameda County, CA",2009.0,129.0,Alameda County, CA
"Alameda County, CA",2010.0,106.0,Alameda County, CA
"Alameda County, CA",2011.0,139.0,Alameda County, CA
"Alameda County, CA",2012.0,115.0,Alameda County, CA
"Alameda County, CA",2013.0,150.0,Alameda County, CA
"Alameda County, CA",2014.0,142.0,Alameda County, CA
"Alameda County, CA",2015.0,188.0,Alameda County, CA
"Albany County, NY",2006.0,11.0,Albany County, NY
"Albany County, NY",2007.0,28.0,Albany County, NY
"Albany County, NY",2008.0,15.0,Albany County, NY
"Albany County, NY",2009.0,10.0,Albany County, NY
"Albany County, NY",2010.0,24.0,Albany County, NY
"Albany County, NY",2011.0,26.0,Albany County, NY
"Albany County, NY",2012.0,13.0,Albany County, NY
"Albany County, NY",2013.0,29.0,Albany County, NY
"Albany County, NY",2014.0,25.0,Albany County, NY
"Albany County, NY",2015.0,27.0,Albany County, NY
"Alexander County, NC",2009.0,11.0,Alexander County, NC
"Alexander County, NC",2015.0,11.0,Alexander County, NC
"Alexandria city, VA",2009.0,12.0,Alexandria city, VA
"Alexandria city, VA",2015.0,11.0,Alexandria city, VA
"Allegan County, MI",2007.0,17.0,Allegan County, MI
"Allegan County, MI",2009.0,12.0,Allegan County, MI
"Allegan County, MI",2013.0,10.0,Allegan County, MI
"Allegan County, MI",2014.0,21.0,Allegan County, MI
"Allegany County, MD",2003.0,15.0,Allegany County, MD
"Allegany County, MD",2006.0,12.0,Allegany County, MD
"Allegany County, MD",2011.0,10.0,Allegany County, MD
"Allegany County, MD",2015.0,11.0,Allegany County, MD
"Allegheny County, PA",2003.0,186.0,Allegheny County, PA
"Allegheny County, PA",2004.0,173.0,Allegheny County, PA
"Allegheny County, PA",2005.0,188.0,Allegheny County, PA
"Allegheny County, PA",2006.0,137.0,Allegheny County, PA
"Allegheny County, PA",2007.0,195.0,Allegheny County, PA
"Allegheny County, PA",2008.0,211.0,Allegheny County, PA
"Allegheny County, PA",2009.0,195.0,Allegheny County, PA
"Allegheny County, PA",2010.0,213.0,Allegheny County, PA
"Allegheny County, PA",2011.0,229.0,Allegheny County, PA
"Allegheny County, PA",2012.0,258.0,Allegheny County, PA
"Allegheny County, PA",2013.0,249.0,Allegheny County, PA
"Allegheny County, PA",2014.0,289.0,Allegheny County, PA
"Allegheny County, PA",2015.0,398.0,Allegheny County, PA
"Allen County, IN",2004.0,20.0,Allen County, IN
"Allen County, IN",2005.0,24.0,Allen County, IN
"Allen County, IN",2006.0,19.0,Allen County, IN
"Allen County, IN",2007.0,18.0,Allen County, IN
"Allen County, IN",2008.0,22.0,Allen County, IN
"Allen County, IN",2009.0,31.0,Allen County, IN
"Allen County, IN",2010.0,33.0,Allen County, IN
"Allen County, IN",2011.0,25.0,Allen County, IN
"Allen County, IN",2012.0,33.0,Allen County, IN
"Allen County, IN",2013.0,47.0,Allen County, IN
"Allen County, IN",2014.0,39.0,Allen County, IN
"Allen County, IN",2015.0,57.0,Allen County, IN
"Allen County, OH",2012.0,14.0,Allen County, OH
"Allen County, OH",2013.0,15.0,Allen County, OH
"Allen County, OH",2014.0,12.0,Allen County, OH
"Allen County, OH",2015.0,18.0,Allen County, OH
"Amador County, CA",2009.0,13.0,Amador County, CA
"Amador County, CA",2014.0,11.0,Amador County, CA
"Anchorage Borough, AK",2003.0,31.0,Anchorage Borough, AK
"Anchorage Borough, AK",2004.0,26.0,Anchorage Borough, AK
"Anchorage Borough, AK",2005.0,28.0,Anchorage Borough, AK
"Anchorage Borough, AK",2006.0,24.0,Anchorage Borough, AK
"Anchorage Borough, AK",2007.0,37.0,Anchorage Borough, AK
"Anchorage Borough, AK",2008.0,56.0,Anchorage Borough, AK
"Anchorage Borough, AK",2009.0,46.0,Anchorage Borough, AK
"Anchorage Borough, AK",2010.0,33.0,Anchorage Borough, AK
"Anchorage Borough, AK",2011.0,47.0,Anchorage Borough, AK
"Anchorage Borough, AK",2012.0,54.0,Anchorage Borough, AK
"Anchorage Borough, AK",2013.0,44.0,Anchorage Borough, AK
"Anchorage Borough, AK",2014.0,48.0,Anchorage Borough, AK
"Anchorage Borough, AK",2015.0,52.0,Anchorage Borough, AK
"Anderson County, SC",2003.0,12.0,Anderson County, SC
"Anderson County, SC",2004.0,18.0,Anderson County, SC
"Anderson County, SC",2005.0,19.0,Anderson County, SC
"Anderson County, SC",2006.0,18.0,Anderson County, SC
"Anderson County, SC",2007.0,25.0,Anderson County, SC
"Anderson County, SC",2008.0,29.0,Anderson County, SC
"Anderson County, SC",2009.0,41.0,Anderson County, SC
"Anderson County, SC",2010.0,33.0,Anderson County, SC
"Anderson County, SC",2011.0,32.0,Anderson County, SC
"Anderson County, SC",2012.0,28.0,Anderson County, SC
"Anderson County, SC",2013.0,26.0,Anderson County, SC
"Anderson County, SC",2014.0,35.0,Anderson County, SC
"Anderson County, SC",2015.0,39.0,Anderson County, SC
"Anderson County, TN",2003.0,10.0,Anderson County, TN
